slug,title,first_line,book_slug,book_title,text,html_url,json_url,txt_url
portraits-x,Portraits X,somebody knew Lincoln somebody Xerxes,tulips-and-chimneys,Tulips and Chimneys,"somebody knew Lincoln somebody Xerxes

this man:a narrow thudding timeshaped face
plus innocuous winking hands,carefully
inhabits number 1 on something street

Spring comes
             the lean and definite houses

are troubled.   A sharp blue day
fills with peacefully leaping air
the minute mind of the world.
The lean and

definite houses are
troubled.in the sunset their chimneys converse
angrily,their
roofs are nervous with the soft furious
light,and while fire-escapes and
roofs and chimneys and while roofs and fire-escapes and
chimneys and while chimneys and fire-escapes
and roofs are talking rapidly all together there happens
Something,and They

cease(and
one by one are turned suddenly and softly
into irresponsible toys.)
                         when this man with

the brittle legs winces
swiftly out of number 1 someThing
street and trickles carefully into the park
sits

Down.   pigeons circle
around and around and around the

irresponsible toys
circle wildly in the slow-ly-in creasing fragility
—.Dogs
bark
children
play
-ing
     Are

in the beautiful nonsense of twilight

and somebody Napoleon",https://cummings.ee/book/tulips-and-chimneys/poem/portraits-x/,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-x.json,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-x.txt
post-impressions-i,Post Impressions I,beyond the brittle towns asleep,tulips-and-chimneys,Tulips and Chimneys,"beyond the brittle towns asleep
i look where stealing needles of foam
in the last light

thread creeping shores


as out of dumb strong hands infinite

the erect deep upon me
in the last light
pours its eyeless miles


the chattering sunset ludicrously
dies,i hear only tidewings

in the last light
twitching at the world",https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-i/,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-i.txt
post-impressions-ii,Post Impressions II,the moon is hiding in,tulips-and-chimneys,Tulips and Chimneys,"the moon is hiding in
her hair,
The
lily
of heaven
full of all dreams,
drawns down.

cover her briefness in singing
close her with intricate faint birds
by daisies and twilights
Deepen her,

Recite
upon her
flesh
the rain’s

pearls singly-whispering",https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-ii.txt
post-impressions-iv,Post Impressions IV,"i am going to utter a tree, Nobody",tulips-and-chimneys,Tulips and Chimneys,"i am going to utter a tree,Nobody
shall stop me

but first
earth     ,the reckless oral darkness
raging with thin impulse

i will have

a
  dream
  i
  think it shall be roses and
spring will bring her
worms rushing through loam.

(afterwards i’ll
climb
by tall careful muscles

into nervous and accurate silence....But   first

you)

press easily
at first,it will be leaves
and a little harder
for roses
only a little harder

last     we
on the groaning flame of neat huge
trudging kiss moistly climbing hideously with
large
minute
hips,O

        .press

worms rushing slowly through loam",https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-iv.txt
post-impressions-iii,Post Impressions III,into the strenuous briefness,tulips-and-chimneys,Tulips and Chimneys,"into the strenuous briefness
Life:
handorgans and April
darkness,friends

i charge laughing.
Into the hair-thin tints
of yellow dawn,
into the women-coloured twilight

i smilingly
glide.   I
into the big vermillion departure
swim, sayingly;

(Do you think?)the
i do,world
is probably made
of roses & hello:

(of solongs and,ashes)",https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-iii.txt
post-impressions-v,Post Impressions V,any man is wonderful,tulips-and-chimneys,Tulips and Chimneys,"any man is wonderful
and a formula
a bit of tobacco and gladness
plus little derricks of gesture

any skyscraper
bulges in the looseness of morning
but in twilight becomes
unutterably crisp

a thing,
which tightens
caught
in the hoisting light

any woman is smooth and ridiculous
a polite uproar of knuckling silent planes
a nudging bulb silkenly brutal
a devout flexion",https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-v/,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-v.txt
post-impressions-vi,Post Impressions VI,at the head of this street a gasping organ is waving moth-eaten,tulips-and-chimneys,Tulips and Chimneys,"at the head of this street a gasping organ is waving moth-eaten
tunes.   a fatish hand turns the crank;the box spouts fairies,out
of it sour gnomes tumble clumsily,the little box is spilling ran-
cid elves upon neat sunlight into the flowerstricken air which is
filthy with agile swarming sonal creatures

—Children,stand with circular frightened faces glaring at the
shabby tiny smiling,man in whose hand the crank goes desperately,
round and round pointing to the queer monkey

(if you toss him a coin he will pick it cleverly from,the air and
stuff it seriously in,his minute pocket)Sometimes he does not
catch a piece of money and then his master will yell at him over
the music and jerk the little string and the monkey will sit,up,
and look at,you with his solemn blinky eyeswhichneversmile and
after he has caught a,penny or three,pennies he will be thrown a
peanut(which he will open skilfully with his, mouth carefully
holding, it in his little toylikehand)and then he will stiff-ly
throw the shell away with a small bored gesture that makes the
children laugh.

But i don’t,   the crank goes round desperate elves and hope-
less gnomes and frantic fairies gush clumsily from the battered box
fatish and mysterious the flowerstricken sunlight is thickening
dizzily is reeling gently the street and the children and the mon-
keyandtheorgan and the man are dancing slowly are tottering up
and down in trembly mist of atrocious melody....tiniest dead
tunes crawl upon my face my hair is lousy with mutilated singing
microscopic things in my ears scramble faintly tickling putres-
cent atomies,
             and
                 i feel the jerk of the little stringthe tiny
smiling shabby man is yelling over the music i understand
him i shove my round red hat back on my head i site up and
blink at you with my solemn eyeswhichneversmile

yes,By god.
for i am they are pointing at the queer monkey with a little
oldish doll-like face and hairy arms like an ogre and rubbbercolour
ed hands and feet filled with quick fingers and a remarkable tail
which is allbyitself alive.(and he has a little red coat with i
have a real pocket in it and the round funny hat with a big feather
is tied under myhis chin.)   that climbs and cries and runs and
floats like a toy on the end of a string",https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-vi/,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-vi.json,https://cummings.ee/book/tulips-and-chimneys/poem/post-impressions-vi.txt
puella-mea,Puella Mea,undefined,tulips-and-chimneys,Tulips and Chimneys,"Harun Omar and Master Hafiz
keep your dead beautiful ladies.
Mine is a little lovelier
than any of your ladies were.

In her perfectest array
my lady,moving in the day,
is a little stranger thing
than crisp Sheba with her king
in the morning wandering.
  Through the young and awkward hours
my lady perfectly moving,
through the new world scarce astir
my fragile lady wandering
in whose perishable poise
is the mystery of Spring
(with her beauty more than snow
dexterous and fugitive
my very frail lady drifting
distinctly,moving like a myth
in the uncertain morning,with
April feet like sudden flowers
and all her body filled with May)
—moving in the unskilful day
my lady utterly alive,
to me is a more curious thing
(a thing more nimble and complete)
than ever to Judea’s king
were the shapely sharp cunning
and withal delirious feet
of the Princess Salomé
carefully dancing in the noise
of Herod’s silence,long ago.

If she a little turn her head
i know that i am wholly dead:
nor ever did on such a throat
the lips of Tristam slowly dote,
La beale Isoud whose leman was.
And if my lady look at me
(with her eyes which like two elves
incredibly amuse themselves)
with a look of færie,
perhaps a little suddenly
(as sometimes the improbably
beauty of my lady will)
—at her glace my spirit shies
rearing(as in the miracle
of a lady who had eyes
which the king’s horses might not kill.)
  But should my lady smile,it were
a flower of so pure surprise
(it were so very new a flower,
a flower so frail,a flower so glad)
as trembling used to yield with dew
when the world was young and new
(a flower such as the world had
in Springtime when the world was mad
and Launcelot spoke to Guenever,
a flower which most heavy hung
with silence when the world was young
and Diarmid looked in Grania’s eyes.)
  But should my lady’s beauty play
at not speaking(sometimes as
it will)the silence of her face
doth immediately make
in my heart so great a noise,
as in the sharp and thirsty blood
of Paris would not all the Troys
of Helen’s beauty:never did
Lord Jason(in impossible things
victorious impossibly)
so wholly burn,to undertake
Medea’s rescuing eyes;nor he
when swooned the white egyptian day
who with Egypt’s body lay.

Love as those ladies were
mine is a little lovelier.
And if she speak in her frail way,
it is wholly to bewitch
my smallest thought with a most swift
radiance wherein slowly drift
murmurous things divinely bright;
it is foolingly to smite
my spirit with the lithe free twitch
of scintillant space,with the cool writhe
of gloom truly which syncopate
some sunbeam’s skilful fingerings;
it is utterly to lull
with foliate inscrutable
sweetness my soul obedient;
it is to stroke my being with
numbing forests frolicsome,
fleetly mystical,aroam
with keen creatures of idiom
(beings alert and innocent
very deftly upon which
indolent miracles impinge)
—it is distinctly to confute
my reason with the deep caress
of every most shy thing and mute,
it is to quell me with the twinge
of all living intense things.
  Never my soul so fortunate
is(past the luck of all dead men
and loving)-as invisibly when
upon her palpable solitude
a furtive occult fragrance steals,
a gesture of immaculate
perfume—whereby (with fear aglow)
my soul is wont wholly to know
the poignant instantaneous fern
whose scrupulous enchanted fronds
toward all things intrinsic yearn,
the immanent subliminal
fern of her delicious voice
(of her voice which always dwells
besides the vivid magical
impetuous and utter ponds
of dream;and very secret food
its leaves inimitable find
beyond the white authentic springs,
beyond the sweet instinctive wells,
which make to flourish the minute
spontaneous meadow of her mind)
—the vocal fern,always which feels
the keen ecstatic actual tread
(and thereto perfectly responds)
of all things exquisite and dead,
all living things and beautiful.
(Caliph and king their ladies had
to love them and to make them glad
when the world was young and mad,
in the city of Bagdad—
mine is a little lovelier
than any of those ladies were.)

Her body is most beauteous,
being for all things amorous
fashioned very curiously
of roses and of ivory.
The immaculate crisp head
is such as only certain dead
and careful painters love to use
for their youngest angels(whose
praising bodies in a row
between slow glories fleetly go.)
Upon a keen and lovely throad
the strangeness of her face doth float,
which in eyes and lips consists
—always upon the mouth there trysts
curvingly a fragile smile
which like a flower lieth(while
withing the eyes is dimly hear
a wistful and precarious bird.)
Springing from fragrant shoulders small,
ardent,and perfectly withal
smooth to stroke and sweet to see
as a supple and young tree,
her slim lascivious arms alight
in skilful wrists which hint at flight
—my lady’s very singular
and slenderest hands moreover are
(which as lilies smile and quail)
of all things perfect the most frail.

(Whose rideth in the tale
of Chaucer knoweth many a pair
of companions blithe and fair;
who to walk with Master Gower
in Confessio doth prefer
shall not lack for beauty there,
nor he that will amaying go
with my log Boccaccio—
whose knocketh at the door
of Marie and of Maleore
findeth of ladies goodly store
whose beauty did in nothing err.
If to me there shall appear
than a rose more sweetly known,
more silently than a flower,
my lady naked in her hair—
i for those ladies nothing care
nor any lady dead and gone.)

Each tapering breast is firm and smooth
than in a lovely fashion doth
from my lady’s body grow;
as morning may a lily known,
her petaled flesh doth entertain
the adriot blood’s mysterious skein
(but like some passionate earlier
flower, the snow will oft utter,
whereof the year has perfect bliss—
for each breast a blossom is,
which being a little while caressed
its fragrance makes the lover blest.)
Her waist is a most tiny hinge
of flesh,a winsome thing and strange;
apt in my hand warmly to lie
it is a throbbing neck whereby
to grasp the belly’s ample vase
(that urgent urn which doth amass
for whoso drinks,a dizzier wine
than should the grapes of heaven combine
with earth’s madness)—’tis a gate
unto a palace intricate
(whereof the luscious pillars rise
which are her lage and shapely thighs)
in whose dome the trembling bliss
of a kingdom wholly is.
  Beneath her thighs such legs are seen
as were the pride of the world’s queen:
each is a verb,miraculous
inflected oral devious,
beneath the body’s breathing noun
(moreover the delicious frown
of the grave great sensual knees
well might any monarch please.)
Each ankle is divinely shy;
as if for fear you would espy
the little distinct food(if whose
very minuteness doth abuse
reason,why then the artificer
did most exquistiely err.)

When the world was like a song
heard behind a golden door,
poet and sage and caliph had
to love them and to make them glad
ladies with lithe eyes and long
(when the world was like a flower
Omar Hafiz and Harun
loved their ladies in the moon)
—fashioned very curiously
of roses and of ivory
if naked she appear to me
my flesh is an enchanted tree;
with her lips’ most frail parting
my body hears the cry of Spring,
and with their frailest syllable
its leaves go crisp with miracle.

Love!—maker of my lady,
in that alway beyond this
poem or any poem she
of whose body words are afraid
perfectly beautiful is.
forgive these words which i have made.
And never boast your dead beauties,
you greatest lovers in the world!
who with Grania strangely fled,
who with Egypt went to bed,
whom white-thighed Semiramis
put up her mouth to wholly kiss—
never boast your dead beauties,
mine being unto me sweeter
(of whose shy delicious glance
things which never more shall be,
perfect things of færie,
are intense inhabitants;
in whose warm superlative
body do distinctly live
all sweet cities passed away—
in her flesh at break of day
are the smells of Nineveh,
in her eyes when day is gone
are the cries of Babylon.)
Diarmuid Paris and Solomon,
Omar Harun and Master Hafiz,
to me your ladies are all one—
keep your dead beautiful ladies.

Eater of all things lovely—Time!
upon whose watering lips the world
poises a moment(futile,proud,
a costly morsel of sweet tears)
gesticulates,and disappears—
of all dainties which do crowd
gaily upon oblivion
sweeter than any there is one;
to touch it is the fear of rhyme—
in life’s very fragile hour
(when the world was like a tale
made of laughter and of dew,
was a flight,a flower,a flame,
was a tendril fleety curled
upon frailness)used to stroll
(very slowly)one or two
ladies like flowers made,
softly used to wholly move
slender ladies made of dream
(in the lazy world and new
sweetly used to laugh and love
ladies with crisp eyes and frail,
in the city of Bagdad.)

Keep your dead beautiful ladies
Harun Omar and Master Hafiz.",https://cummings.ee/book/tulips-and-chimneys/poem/puella-mea/,https://cummings.ee/book/tulips-and-chimneys/poem/puella-mea.json,https://cummings.ee/book/tulips-and-chimneys/poem/puella-mea.txt
songs-i,Songs I,(thee will i praise between those rivers whose,tulips-and-chimneys,Tulips and Chimneys,"(thee will i praise between those rivers whose
white voices pass upon forgetting(fail
me not)whose courseless waters are a gloat
of silver;o’er whose night three willows wail,
a slender dimness in the unshapeful hour
making dear moan in tones of stroked flower;
let not thy lust one threaded moment lose:
haste)the very shadowy sheep float
free upon terrific pastures pale,

whose tall mysterious shepherd lifts a cheek
teartroubled to the momentary wind
with guiding smile,lips wisely minced for blown
kisses,condemnatory fingers thinned
of pity—so he stands counting the moved
myriads wonderfully loved,
(hasten, it is the moment which shall seek
all blossoms that do learn,scents of not known
musics in whose careful eyes are dinned;

and the people of the perfect darkness fills
his mind who will their hungering whispers hear
with weepings soundless,saying of “alas
we were chaste on earth we ghosts:hark to the sheer
cadence of our gray flesh in the gloom!
and still to be immortal is our doom;
but a rain frailly raging whom the hills
sink into and their sunsets,it shall pass.
Our feet tread sleepless meadows sweet with fear”)

then be with me:unseriously seem
by the perusing greenness of thy thought
my golden soul fabulously to glue
in a superior terror;be thy taut
flesh silver,like the currency of faint
cities eternal—ere the sinless taint
of thy long sinful arms about me dream
shall my love wholly taste thee as a new
wine from steep hills by darkness softly brought—

(be with me in the sacred witchery
of almostness which May makes follow soon
on the sweet heels of passed afterday,
clothe thy soul’s coming merely,with a croon
of mingling robes musically revealed
in rareness:let thy twain eyes deeply wield
a noise of petals falling silently
through the far-spaced possible nearaway
from huge trees drenched by a rounding moon)",https://cummings.ee/book/tulips-and-chimneys/poem/songs-i/,https://cummings.ee/book/tulips-and-chimneys/poem/songs-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/songs-i.txt
songs-ii,Songs II,Always before your voice my soul,tulips-and-chimneys,Tulips and Chimneys,"Always before your voice my soul
half-beautiful and wholly droll
is as some smooth and awkward foal,
whereof young moons begin
the newness of his skin

so of my stupid sincere youth
the exquisite failure uncouth
discovers a trembling and smooth
Unstrength,against the strong
silences of your song;

or as a single lamb whose sheen
of full unsheared fleece is mean
besides its lovelier friends,between
your thoughts more white than wool
My thought is sorrowful:

but my heart smote in trembling thirds
of anguish quivers to your words,
As to a flight of thirty birds
shakes with a thickening fright
the sudden fooled light.

it is autumn of the year:
When through the thin air stooped with fear,
acrosss the harvest whitely peer
empty of surprise
death’s faultless eyes

(whose hand my folded soul shall know
while on faint hills do frailly go
The peaceful terrors of the snow,
and before your dead face
which sleeps,a dream shall pass)

and these my days their sounds and flowers
Fall in a pride of petaled hours,
like flowers at the feet of mowers
whose bodies strong with love
through meadows hugely move.

yet what am i that such and such
mysteries very simply touch
me,whose heart-wholeness overmuch
Expects of your hair pale,
a terror musical?

while in an earthless hour my fond
soul seriously yearns beyond
this fern of sunset frond on frond
opening in a rare
Slowness of gloried air...

The flute of morning stilled in noon—
noon the implacable bassoon—
now Twilight seeks the thrill of moon,
washed with a wild and thin
despair of violin",https://cummings.ee/book/tulips-and-chimneys/poem/songs-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/songs-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/songs-ii.txt
songs-iii,Songs III,The fingers make early flowers of,tulips-and-chimneys,Tulips and Chimneys,"The fingers make early flowers of
all things.
thy hair mostly the hours love:
a smoothness which
sings,saying
(though love be a day)
do not fear, we will go amaying.

the whitest feet crisply are straying.
Always
they moist eyes are at kisses playing,
whose strangeness much
says;singing
(thought love be a day)
for which girl art thou flowers bringing?

To be they lips is a sweet thing
and small.
Death,Thee i call rich beyond wishing
if this thou catch,
else missing.
(though love be a day
and life be nothing,it shall not stop kissing).",https://cummings.ee/book/tulips-and-chimneys/poem/songs-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/songs-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/songs-iii.txt
songs-iv,Songs IV,All in green went my love riding,tulips-and-chimneys,Tulips and Chimneys,"All in green went my love riding
on a great horse of gold
into the silver dawn.

four lean hounds crouched low and smiling
the merry deer ran before.

Fleeter be they than dappled dreams
the swift sweet deer
the red rare deer.

Four red roebuck at a white water
the cruel bugle sang before.

Horn at hip went my love riding
riding the echo down
into the silver dawn.

four lean hounds crouched low and smiling
the level meadows ran before.

Softer be they than slippered sleep
the lean lithe deer
the fleet flown deer.

Four fleet does at a gold valley
the famished arrow sang before.

Bow at belt went my love riding
riding the mountain down
into the silver dawn.

four lean houds crouched low and smiling
the sheer peaks ran before.

Paler be they than daunting death
the sleek slim deer
the tall tense deer.

Four tall stags at a green mountain
the lucky hunter sang before.

All in green went my love riding
on a great horse of gold
into the silver dawn.

four lean hounds crouched low and smiling
my heart fell dead before.",https://cummings.ee/book/tulips-and-chimneys/poem/songs-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/songs-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/songs-iv.txt
songs-v,Songs V,Doll’s boy ’s asleep,tulips-and-chimneys,Tulips and Chimneys,"Doll’s boy ’s asleep
under a stile
he sees eight and twenty
ladies in a line

the first lady
says to nine ladies
his lips drink water
but his heart drinks wine

the tenth lady
says to nine ladies
they must chain his foot
for his wrist ’s too fine

the nineteenth
says to nine ladies
you take his mouth
for his eyes are mine.

Doll’s boy ’s asleep
under the stile
for every mile the feet go
the heart goes nine",https://cummings.ee/book/tulips-and-chimneys/poem/songs-v/,https://cummings.ee/book/tulips-and-chimneys/poem/songs-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/songs-v.txt
songs-vi,Songs VI,when god lets my body be,tulips-and-chimneys,Tulips and Chimneys,"when god lets my body be

From each brave eye shall sprout a tree
fruit that dangles therefrom

the purpled world will dance upon
Between my lips which did sing

a rose shall beget the spring
that maidens whom passion wastes

will lay between their little breasts
My strong fingers beneath the snow

Into strenuous birds shall go
my love walking in the grass

their wings will touch her face
and all the while shall my heart be

With the bulge and nuzzle of the sea",https://cummings.ee/book/tulips-and-chimneys/poem/songs-vi/,https://cummings.ee/book/tulips-and-chimneys/poem/songs-vi.json,https://cummings.ee/book/tulips-and-chimneys/poem/songs-vi.txt
sonnets-actualities-i,Sonnets—Actualities I,"a thing most new complete fragile intense,",tulips-and-chimneys,Tulips and Chimneys,"a thing most new complete fragile intense,
which wholly trembling memory undertakes
—your kiss,the little pushings of flesh,makes
my body sorry when the minute moon
is a remarkable splinter in the quick
of twilight
           ....or if sunset utters one
unhurried muscled huge chromatic
fist skilfully modeling silence
—to feel how through the stopped entire day
horribly and seriously thrills
the moment of enthusiastic space
is a little wonderful,and say
Perhaps her body touched me;and to face

suddenly the lighted living hills",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-i/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-i.txt
sonnets-actualities-ii,Sonnets—Actualities II,my love is buiding a building,tulips-and-chimneys,Tulips and Chimneys,"my love is buiding a building
around you,a frail slippery
house,a strong fragile house
(beginning at the singular beginning

of your smile)a skilful uncouth
prison,a precise clumsy
prison(building thatandthis into Thus,
Around the reckless magic of your mouth)

my love is building a magic,a discrete
tower of magic and(as i guess)

when Farmer Death(whom fairies hate)shall

crumble the mouth-flower fleet
He’ll not my tower,
                   laborious, casual

where the surrounded smile
                           hangs

                                 breathless",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-ii.txt
sonnets-actualities-iii,Sonnets—Actualities III,yours is the music for no instrument,tulips-and-chimneys,Tulips and Chimneys,"yours is the music for no instrument
yours the preposterous colour unbeheld

—mine the unbought contemptuous intent
till this our flesh merely shall be excelled
by speaking flower
                  (if i have made songs

it does not greatly matter to the sun,
nor will rain care
                  cautiously who prolongs
unserious twilight)Shadows have begun

the hair’s worm huge,ecstatic,rathe....

yours are the poems i do not write.

In this at least we have got a bulge of death,
silence,and the keenly musical light

of sudden nothing....la bocca mia “he
kissed wholly trembling”

                        or so thought the lady.",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-iii.txt
sonnets-actualities-iv,Sonnets—Actualities IV,by little accurate saints thickly which tread,tulips-and-chimneys,Tulips and Chimneys,"by little accurate saints thickly which tread
the serene nervous light of paradise—
by angelfaces clustered like bright lice

about god’s capable dull important head—
by on whom glories whisperingly impinge
(god’s pretty mother)but may not confuse

the clever hair nor rout the young mouth whose
lips being a smile exactly strange—
this painter should have loved my lady.
And by this throad a little suddenly lifted

in singing—hands fragile whom almost tire
the sleepshaped lilies—

                        should my lady’s body
with these frail ladies dangerously respire:

impeccable girls in raiment laughter-gifted.",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-iv.txt
sonnets-actualities-v,Sonnets—Actualities V,notice the convulsed orange inch of moon,tulips-and-chimneys,Tulips and Chimneys,"notice the convulsed orange inch of moon
perching on this silver minute of evening.

We’ll choose the way to the forest—no offense
to you,white town whose spires softly dare.
Will take the houseless wisping rune
of road lazily carved on sharpening air.

Fields lying miraculous in violent silence

fill with microscopic whithering
...(that’s the Black People,cherie,
who live under stones.) Don’t be afraid

and we will pass the simple ugliness
of exact tombs,where a large road crosses
and all the people are minutely dead.

Then you will slowly kiss me",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-v/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-actualities-v.txt
sonnets-realities-i,Sonnets—Realities I,the Cambridge ladies who live in furnished souls,tulips-and-chimneys,Tulips and Chimneys,"the Cambridge ladies who live in furnished souls
are unbeautiful and have comfortable minds
(also,with the church’s protestant blessings
daughters,unscented shapeless spirited)
they believe in Christ and Longfellow,both dead,
are invariably interested in so many things—
at the present writing one still finds
delighted fingers knitting for the is it Poles?
perhaps.   While permanent faces coyly bandy
scandal of Mrs. N and Professor D
....the Cambridge ladies do not care,above
Cambridge if sometimes in its box of
sky lavender and cornerless,the
moon rattles like a fragment of angry candy",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-i/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-i.txt
sonnets-realities-ii,Sonnets—Realities II,"goodby Betty,don’t remember me",tulips-and-chimneys,Tulips and Chimneys,"goodby Betty,don’t remember me
pencil your eyes dear and have a good time
with the tall tight boys at Tabari’
s,keep your teeth snowy,stick to beer and lime,
wear dark,and where your meeting breasts are round
have roses darling,it’s all i ask of you—
but that when light fails and this sweet profound
Paris moves with lovers,two and two
bound for themselves,when passionate dusk
brings softly down the perfume of the world
(and just as smaller stars begin to husk
heaven)you, you exactly paled and curled

with mystic lips take twilight where i know:
proving to Death that Love is so and so.",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-ii.txt
sonnets-realities-iii,Sonnets—Realities III,ladies and gentlemen this little girl,tulips-and-chimneys,Tulips and Chimneys,"ladies and gentlemen this little girl
with the good teeth and small important breasts
(is it the Frolic or the Century whirl?
one’s memory indignantly protests)
this little dancer with the tightened eyes
crisp ogling shoulders and the ripe quite too
large lips always clenched faintly,wishes you
with all her fragile might to not surmise
she dreamed on afternoon
                         ....or maybe read?

of a time when the beautiful most of her
(this here and This,do you get me?)
will maybe dance and maybe sing and be
absitively posolutely dead,
like Coney Island in winter",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-iii.txt
sonnets-realities-iv,Sonnets—Realities IV,when you rang at Dick Mid’s Place,tulips-and-chimneys,Tulips and Chimneys,"when you rang at Dick Mid’s Place
the madam was a bulb stuck in the door.
a fang of wincing gas showed how
hair,in two fists of shrill colour,
clutched the dull volume of her tumbling face
scribbled with a big grin.   her sow-
eyes clicking mischief from thick lids.
the chunklike nose on which always the four
tablets of perspiration erectly sitting.
—If they knew you at Dick Mid’s
the three trickling chins began to traipse
into the cheeks “eet smeestaire steevensun
kum een, dare ease Bet,an Leelee,an dee beeg wun”
her handless wrists did gooey severe shapes.",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-iv.txt
sonnets-realities-v,Sonnets—Realities V,"“kitty”. sixteen,5’ 1”,white,prostitute.",tulips-and-chimneys,Tulips and Chimneys,"“kitty”. sixteen,5’ 1”,white,prostitute.

ducking always the touch of must and shall,
whose slippery body is Death’s littlest pal,

skilled in quick softness.   Unspontaneous.   cute.

the signal perfume of whose unrepute
focusses in the sweet slow animal
bottomless eyes importantly banal,

Kitty.  a whore.  Sixteen
                         you corking brute
amused from time to time by clever drolls
fearsomely who do keep their sunday flower.
The babybreasted broad “kitty” twice eight

—beer nothing,the lady’ll have a whiskey-sour—

whose least amazing smile is the most great
common divisor of unequal souls.",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-v/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-v.txt
sonnets-realities-vi,Sonnets—Realities VI,"when thou hast taken thy last applause,and when",tulips-and-chimneys,Tulips and Chimneys,"when thou hast taken thy last applause,and when
the final curtain strikes the world away,
leaving to shadowy silence and dismay
that stage which shall not know they smile again,
lingering a little while i see thee then
ponder the tinsel part they let thee play;
i see the large lips livid,the face grey,
and silent smileless eyes of Magdalen.
The lights have laughed their last;without,the street
darkling awaiteth her whose feet have trod
the silly souls of men to golden dust:
she pauses on the lintel of defeat,
her heart breaks in a smile—and she is Lust....

mine also,little painted poem of god",https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-vi/,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-vi.json,https://cummings.ee/book/tulips-and-chimneys/poem/sonnets-realities-vi.txt
